Country Code,shock
LTU,0.191508091
KEN,0.999984883
GRC,0.377631577
SRB,0.981797983
BLR,0.028441022
IRL,6.93E-05
CYP,1
SGP,1.37E-05
ROU,0.276339638
BRA,0.986286453
GTM,1
UKR,0.231374723
SLV,1
CHN,0.000131586
MEX,0.006875627
BGR,0.009474558
TUR,0.518108718
ZWE,1
VNM,8.21E-05
NOR,0.035757903
POL,0.019225578
DNK,0.006926892
MYS,1.58E-05
KOR,5.50E-06
BOL,1
JAM,1
BRB,1
ISL,1
KAZ,1
SVK,0.032445926
USA,2.49E-05
MNE,1
URY,1
CAN,0.004036384
BRN,1
DOM,1
MKD,0.99507188
MLT,0.000883431
CHE,0.003722424
EST,0.036870959
BWA,1
LBN,1
UZB,0.999999837
MDA,1
FIN,0.001677157
SAU,1
SEN,1
HRV,0.150955934
BEL,0.00193626
IND,0.025762428
PRT,0.001794755
MAR,0.004085071
ITA,0.00067056
DZA,1
ECU,1
CHL,1
LUX,0.198206218
CRI,0.009183052
ARE,0.006976073
HKG,2.45E-05
ISR,0.000211265
LSO,1
MNG,1
MWI,1
AZE,1
HND,0.996338723
AND,1
PRY,1
NLD,0.000237269
SWE,0.007705974
TZA,1
ZAF,0.05956204
PHL,3.70E-05
IDN,0.011179949
FRA,0.000267161
MDG,1
EGY,1
BIH,0.998204307
SWZ,1
PER,1
NZL,0.242092986
AUT,0.001379131
LCA,1
BHR,1
NAM,1
ARG,1
GUY,1
JPN,2.56E-05
TUN,0.030887866
RUS,0.970069881
HUN,0.005276557
GBR,0.000837409
CZE,0.003908239
COL,1
SVN,0.076516483
CIV,1
PAK,1
AUS,0.021608346
ZMB,1
LVA,0.171315159
GEO,0.999833999
DEU,0.000107569
ESP,0.005781606
LKA,0.14534568
NIC,1
