Country Code,cascade depth
GTM,50.0
BGR,50.0
ARE,50.0
ISR,45.53
TZA,50.0
CZE,38.85
NOR,50.0
GEO,50.0
ARG,50.0
GUY,50.0
MNE,50.0
PRT,46.4
MKD,50.0
NAM,50.0
PRY,50.0
SAU,50.0
LVA,50.0
MAR,50.0
MWI,50.0
KOR,25.6
BHR,50.0
VNM,18.87
DZA,50.0
LBN,50.0
ZWE,50.0
SWZ,50.0
ISL,50.0
HKG,16.96
TUR,47.76
RUS,10.31
AND,50.0
DNK,49.09
GRC,50.0
MYS,29.29
LKA,50.0
ESP,45.17
CHN,11.33
HUN,37.19
BEL,49.08
BOL,50.0
CHE,48.73
SVK,46.08
ROU,42.1
UZB,50.0
POL,40.75
NIC,50.0
URY,50.0
ZMB,50.0
JAM,50.0
BRB,50.0
PAK,50.0
ZAF,50.0
MNG,50.0
BWA,50.0
TUN,49.52
NZL,50.0
IRL,47.32
AZE,50.0
CRI,50.0
KAZ,50.0
PHL,29.13
DEU,27.64
DOM,50.0
MEX,25.1
BRN,50.0
MDA,50.0
BRA,32.13
HND,50.0
SEN,50.0
KEN,50.0
LCA,50.0
SLV,50.0
BLR,50.0
AUS,47.82
NLD,26.52
USA,12.76
MLT,50.0
SRB,50.0
UKR,50.0
EGY,50.0
LSO,50.0
AUT,46.01
EST,47.87
FRA,41.41
HRV,50.0
LUX,50.0
COL,50.0
IDN,43.0
ITA,42.98
GBR,44.08
ECU,50.0
FIN,46.75
MDG,50.0
CIV,50.0
IND,37.17
SGP,27.74
SVN,50.0
CAN,40.87
LTU,50.0
CYP,50.0
PER,50.0
BIH,50.0
CHL,50.0
JPN,32.31
SWE,46.53
